address,city,state,datetime,numrounds,shotspotterflexid,lat,long
543 N CLARK ST,Fresno,CA,05/03/2016 20:05:50,1,10882,36.7512866032,-119.785538596
1300-1398 E VOORMAN AVE,Fresno,CA,05/06/2016 21:48:14,1,10932,36.7441249572,-119.795270869
100-198 N PARK AVE,Fresno,CA,05/13/2016 22:36:34,1,11068,36.7445670910,-119.796763788
3745 E OLIVE AVE,Fresno,CA,05/15/2016 01:52:03,1,11087,36.7579248202,-119.762438837
3515 E MCKENZIE AVE,Fresno,CA,05/15/2016 02:58:19,9,11088,36.7469934917,-119.765425114
301-399 E ARROYO AVE,Fresno,CA,05/17/2016 18:56:09,1,11109,36.7464578540,-119.807453535
279-285 N ECHO AVE,Fresno,CA,05/20/2016 19:45:20,3,11148,36.7471205132,-119.804385855
155 S CALLISCH AVE,Fresno,CA,05/20/2016 21:18:23,1,11149,36.7408166681,-119.775122976
3267 E CLAY AVE,Fresno,CA,05/22/2016 21:51:33,2,11188,36.7568244289,-119.769757456
305 N CLARK ST,Fresno,CA,05/22/2016 20:31:51,7,11184,36.7470916695,-119.786570900
3232 E ILLINOIS AVE,Fresno,CA,05/25/2016 04:04:37,2,11209,36.7449143056,-119.770121487
101-199 W DENNETT AVE,Fresno,CA,05/28/2016 04:39:58,5,11256,36.7557338174,-119.813722919
201-249 N 3RD ST,Fresno,CA,05/28/2016 02:16:21,1,11253,36.7453156083,-119.769318219
1024 N BOND ST,Fresno,CA,05/30/2016 02:17:34,1,11290,36.7563833351,-119.767687549
3001-3131 E HARVEY AVE,Fresno,CA,05/30/2016 04:02:36,7,11292,36.7539657695,-119.771712913
261 N DIANA ST,Fresno,CA,06/06/2016 02:45:41,5,11397,36.7463261432,-119.787726823
3413 E OLIVE AVE,Fresno,CA,06/07/2016 20:53:53,7,11448,36.7578465541,-119.767628471
301-303 N EFFIE ST,Fresno,CA,06/08/2016 04:20:08,1,11455,36.7469784455,-119.788294780
498 N FIRST ST,Fresno,CA,06/09/2016 03:15:43,1,11493,36.7504589414,-119.772406460
3480-3498 E HARVEY AVE,Fresno,CA,06/09/2016 21:05:32,1,11504,36.7540881989,-119.765730899
148 N SAN PABLO AVE,Fresno,CA,06/09/2016 01:42:49,4,11492,36.7449197263,-119.794244266
,Fresno,CA,,10,,,
3068 E GRANT AVE,Fresno,CA,06/11/2016 00:54:20,1,11553,36.7484723454,-119.773192207
1233 N FERGER AVE,Fresno,CA,06/11/2016 23:03:05,1,11595,36.7582182333,-119.808013722
2312 E GRANT AVE,Fresno,CA,06/12/2016 07:13:55,5,11609,36.7488816762,-119.783523103
4777 E MONTECITO AVE,Fresno,CA,06/12/2016 01:07:04,3,175,36.7341500392,-119.737550455
4742 E EL MONTE WAY,Fresno,CA,06/13/2016 05:03:28,13,198,36.7348714975,-119.739086749
719 N 3RD ST,Fresno,CA,06/15/2016 23:42:17,3,11795,36.7530570314,-119.769221001
632 N ECHO AVE,Fresno,CA,06/15/2016 17:44:08,1,11774,36.7519077678,-119.803614619
2271-2285 S BARDELL AVE,Fresno,CA,06/16/2016 22:28:11,20,214,36.7176694490,-119.797378400
1102 E FRANKLIN AVE,Fresno,CA,06/16/2016 18:44:23,4,11825,36.7487860709,-119.797402200
2030 E HAMMOND AVE,Fresno,CA,06/17/2016 21:48:50,1,11887,36.7583559038,-119.786238544
51 E BELMONT AVE,Fresno,CA,06/18/2016 14:48:30,3,11905,36.7504418392,-119.811747855
900-998 N THESTA ST,Fresno,CA,06/18/2016 00:03:16,4,11896,36.7549914818,-119.783504964
444 S DEARING AVE,Fresno,CA,06/18/2016 04:17:46,10,299,36.7387943633,-119.738270081
1000-1098 N DIANA ST,Fresno,CA,06/19/2016 15:21:56,2,11953,36.7556645736,-119.787659083
1021 S CEDAR AVE,Fresno,CA,06/20/2016 00:24:07,2,447,36.7327819375,-119.754197916
3031 E PLATT AVE,Fresno,CA,06/21/2016 23:10:06,10,12129,36.7421328566,-119.773256944
2300-2398 S LEE AVE,Fresno,CA,06/23/2016 22:24:34,5,324,36.7173579258,-119.801659862
