primary_key,date_received,time_received,district,zone,grid,municipality,county,case_type_translation,final_case_type_translation,cleared_by_translation,report_flag
SA2015243280,8/23/2015,22:26:32,2,2B,541,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015243268,8/23/2015,22:16:23,2,2B,552,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015242483,8/23/2015,1:30:20,2,2B,522,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015243278,8/23/2015,22:26:02,2,2B,541,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015244288,8/24/2015,23:15:00,2,2B,543,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015244190,8/24/2015,21:05:12,2,2B,552,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015246480,8/26/2015,22:45:47,2,2B,523,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015246386,8/26/2015,20:59:36,2,2B,563,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015247707,8/28/2015,1:34:53,2,2B,531,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015247708,8/28/2015,1:35:26,2,2B,531,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015248807,8/29/2015,:25:33,2,2A,514,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015249989,8/30/2015,:39:22,2,2A,502,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015249979,8/30/2015,:27:34,2,2A,515,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015250940,8/30/2015,23:09:12,2,2B,526,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015250912,8/30/2015,22:34:48,2,2B,552,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015253105,9/2/2015,2:07:49,2,2B,525,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,CANCEL,N
SA2015254853,9/3/2015,17:00:53,2,2C,604,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015255014,9/3/2015,19:15:11,2,2C,604,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015255158,9/3/2015,22:09:10,2,2B,525,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,N
SA2015255080,9/3/2015,20:37:50,2,2B,544,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
SA2015254217,9/3/2015,2:46:17,2,2A,505,SACRAMENTO,SACRAMENTO,SHOTSPOTTER,SHOTSPOTTER,POLICE MATTER RESOLVED AT SCENE,Y
