Type,Respond ID,Date,Time,Address,Zone,Rounds,CAD ID,Beat,District,Latitude,Longitude
Single Gunshot,99-173087,12/1/19,9:54:19,"1340 Bush Ave, San Pablo, CA 94806",SanPabloCA,1,,3,,37.9557072,-122.3557944
Probable Gunfire,99-172847,11/28/19,0:50:47,"14600 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,1,19-36375,1,,37.96894182,-122.3432505
Probable Gunfire,99-172453,11/24/19,2:44:17,"50 San Pablo Towne Center, San Pablo, CA 94806",SanPabloCA,3,,2,,37.95535684,-122.3311212
Single Gunshot,99-172233,11/22/19,4:08:41,"2525 San Pablo Dam Rd, San Pablo, CA 94806",SanPabloCA,1,19-35802,2,,37.95684605,-122.3296894
Probable Gunfire,99-172135,11/21/19,3:40:33,"2359 Greenwood Dr, San Pablo, CA 94806",SanPabloCA,1,,1,,37.96299288,-122.3342178
Probable Gunfire,99-172052,11/20/19,7:51:12,"1970 Rumrill Blvd, San Pablo, CA 94806",SanPabloCA,1,824,3,,37.96181791,-122.3558672
Multiple Gunshots,99-172044,11/20/19,5:33:56,"2659 19th St, San Pablo, CA 94806",SanPabloCA,13,19-35590,1,,37.96911517,-122.347048
Probable Gunfire,99-171822,11/17/19,0:08:57,"1800 23rd St, San Pablo, CA 94806",SanPabloCA,1,19-35285,3,,37.95697955,-122.3472479
Probable Gunfire,99-171606,11/16/19,20:13:45,"24 Haviland Ct, San Pablo, CA 94806",SanPabloCA,6,19-35271,1,,37.96943541,-122.3546047
Probable Gunfire,99-171265,11/16/19,13:49:06,"3400 Murra Ct, San Pablo, CA 94806",SanPabloCA,3,,1,,37.9796307,-122.3489669
Probable Gunfire,99-171225,11/15/19,19:22:47,"2131 Stanton Ave, San Pablo, CA 94806",SanPabloCA,1,19-35190,1,,37.98124791,-122.3397978
Single Gunshot,99-171224,11/15/19,18:18:43,"2131 Stanton Ave, San Pablo, CA 94806",SanPabloCA,1,35188,1,,37.98129964,-122.3397422
Probable Gunfire,99-171220,11/15/19,17:22:56,"2817 11th St, San Pablo, CA 94806",SanPabloCA,1,INCDT35183,1,,37.97269559,-122.3527517
Probable Gunfire,99-171080,11/14/19,22:46:40,"1732 Rumrill Rd, San Pablo, CA 94806",SanPabloCA,1,,3,,37.95768277,-122.3567066
Probable Gunfire,99-170763,11/11/19,20:42:14,"161 San Luis Obispo St, San Pablo, CA 94806",SanPabloCA,1,19-,1,,37.96684624,-122.3432161
Multiple Gunshots,99-170547,11/10/19,19:23:38,"2722 15th St, San Pablo, CA 94806",SanPabloCA,5,,1,,37.9704155,-122.3495239
Single Gunshot,99-169811,11/4/19,22:52:38,"2900 19th St, San Pablo, CA 94806",SanPabloCA,1,,1,,37.97269799,-122.3454798
Probable Gunfire,99-169695,11/4/19,21:37:10,"1324 Madrone Way, San Pablo, CA 94806",SanPabloCA,4,,1,,37.97514992,-122.3486445
Multiple Gunshots,99-169656,11/4/19,20:13:11,"932 Trenton Blvd, San Pablo, CA 94806",SanPabloCA,3,19-34094,1,,37.97032614,-122.3546739
Probable Gunfire,99-169381,11/3/19,3:53:29,"14341 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,1,19-33945,1,,37.96536666,-122.3453078
Multiple Gunshots,99-169380,11/3/19,3:49:55,"14341 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,5,19-33945,1,,37.96525816,-122.3452258
Multiple Gunshots,99-169368,11/3/19,0:17:53,"1021 Trenton Blvd, San Pablo, CA 94806",SanPabloCA,12,19-33935,1,,37.97049478,-122.3529213
Single Gunshot,99-169295,11/1/19,18:12:02,"1319 John Ave, San Pablo, CA 94806",SanPabloCA,1,19-33801,1,,37.97851198,-122.3476804
Single Gunshot,99-169267,11/1/19,3:43:06,"1608 Market Ave, San Pablo, CA 94806",SanPabloCA,1,19-33735,3,,37.95803539,-122.3536548
Single Gunshot,99-169249,10/31/19,22:14:08,"1789 Rumrill Blvd, San Pablo, CA 94806",SanPabloCA,1,19-33723,3,,37.95872782,-122.356812
Multiple Gunshots,99-169242,10/31/19,21:18:22,"2532 MacArthur Ave, San Pablo, CA 94806",SanPabloCA,5,19-33720,1,,37.96753347,-122.3506219
Probable Gunfire,99-168984,10/27/19,3:51:03,"14301 San Pablo Ave, San Pablo, CA 94806",SanPabloCA,1,19-33225,1,,37.96457176,-122.3452698
