Type,"Respond ID",Date,Time,Address,Zone,Rounds,"CAD ID",Beat,District,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Single Gunshot",661-159367,12/26/20,2:11:18,"1600 blk Quincy St, Bakersfield, CA 93305",BakersfieldCA,1,20-236686,,,35.382085,-118.975699,1,rooftop,1600,"Quincy St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-159366,12/26/20,2:05:33,"100 blk Clifton St, Bakersfield, CA 93307",BakersfieldCA,4,20-236685,BP327,Metro,35.355956,-118.986686,1,rooftop,100,"Clifton St",,,Bakersfield,CA,"Kern County",93307,US,"City of Bakersfield (City of Bakersfield)"
"Probable Gunfire",661-159310,12/25/20,23:14:04,"300 blk Eye St, Bakersfield, CA 93304",BakersfieldCA,1,236608,BP226,Metro,35.359087,-119.019801,1,rooftop,300,"Eye St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-159250,12/25/20,21:51:07,"600 blk Williams St, Bakersfield, CA 93305",BakersfieldCA,4,20-236572,BP330,Metro,35.369803,-118.980598,1,rooftop,600,"Williams St",,,Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield (City of Bakersfield)"
"Multiple Gunshots",661-159204,12/25/20,20:37:35,"1100 blk E 3rd St, Bakersfield, CA 93304",BakersfieldCA,10,20-236539,BP327,Metro,35.35911,-119.014455,1,rooftop,1100,"3rd St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
"Single Gunshot",661-159175,12/25/20,20:07:19,"700 blk Monticello Ave, Bakersfield, CA 93307",BakersfieldCA,1,20-236528,,,35.363235,-118.978594,1,range_interpolation,700,"Monticello Ave",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-159118,12/25/20,18:21:50,"10 blk S King St, Bakersfield, CA 93307",BakersfieldCA,3,20-236469,BP327,Metro,35.354244,-118.993985,1,range_interpolation,10,"S King St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-159117,12/25/20,18:21:13,"10 blk S King St, Bakersfield, CA 93307",BakersfieldCA,4,20-236469,BP327,Metro,35.354244,-118.993985,1,range_interpolation,10,"S King St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Single Gunshot",661-159050,12/25/20,16:47:17,"800 blk S Williams St, Bakersfield, CA 93307",BakersfieldCA,1,20-236422,BP331,Metro,35.36505,-118.981414,1,range_interpolation,800,"S Williams St",,,Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau"
"Multiple Gunshots",661-159027,12/25/20,15:44:24,"700 blk H St, Bakersfield, CA 93304",BakersfieldCA,8,236389,BP225,Metro,35.363847,-119.020913,1,rooftop,700,"H St",,,Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield (City of Bakersfield)"
