address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1528 San Joaquin St",Richmond,CA,37.910592,-122.317884,1,rooftop,1528,"San Joaquin St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1717 Chanslor Ave",Richmond,CA,37.932646,-122.352785,1,rooftop,1717,"Chanslor Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"KEARNEY St",Richmond,CA,37.946518,-122.323327,0.95,street_center,,"Kern St",,,Richmond,CA,"Contra Costa County",94805,US,"TIGER/Line® dataset from the US Census Bureau"
"3503 Rheem Ave",Richmond,CA,37.950115,-122.33355,1,rooftop,3503,"Rheem Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"4009 Mc Glothen Way",Richmond,CA,37.984411,-122.352913,0.9,rooftop,4009,"Mc Glothen Way",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"831 26th St",Richmond,CA,37.944206,-122.343424,1,rooftop,831,"26th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"527 49th S St",Richmond,CA,37.924937,-122.323801,0.95,rooftop,527,"S 49th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1910 Dunn Ave",Richmond,CA,37.948608,-122.350868,1,rooftop,1910,"Dunn Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2415 Bancroft Ln",Richmond,CA,37.964857,-122.336049,0.9,rooftop,2415,"Bancroft Ln",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"254 Alamo Ave",Richmond,CA,37.953159,-122.367654,1,rooftop,254,"Alamo Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3255 Auto Plaza",Richmond,CA,37.985175,-122.322638,0.9,rooftop,3255,"Auto Plz",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1818 Lincoln Ave",Richmond,CA,37.945758,-122.351585,1,rooftop,1818,"Lincoln Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3631 Chanslor Ave",Richmond,CA,37.932599,-122.33484,1,rooftop,3631,"Chanslor Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"608 19th St",Richmond,CA,37.940356,-122.351185,1,rooftop,608,"19th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"450 44th St",Richmond,CA,37.93519,-122.327557,1,rooftop,450,"44th St",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"4109 Barrett Ave",Richmond,CA,37.936216,-122.329814,1,rooftop,4109,"Barrett Ave",,,Richmond,CA,"Contra Costa County",94805,US,"Contra Costa County"
"720 22nd St",Richmond,CA,37.942533,-122.348168,1,rooftop,720,"22nd St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3110 Moyers Rd",Richmond,CA,37.975328,-122.322453,0.9,rooftop,3110,"Moyers Rd",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"4615 Cypress Ave",Richmond,CA,37.920098,-122.32657,1,rooftop,4615,"Cypress Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"3327 Waller Ave",Richmond,CA,37.928956,-122.337747,1,rooftop,3327,"Waller Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"3101 Rollingwood Dr",Richmond,CA,37.822217,-121.918879,0.7,nearest_rooftop_match,3098,"Deer Meadow Dr",,,Danville,CA,"Contra Costa County",94506,US,"Contra Costa County"
"3313 Andrade Ave",Richmond,CA,37.948024,-122.335095,1,rooftop,3313,"Andrade Ave",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"725-733 Barrett Ave",Richmond,CA,37.939146,-122.363137,0.9,nearest_rooftop_match,725,"Barrett Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"5626 Casino Ave",Richmond,CA,37.952037,-122.325803,0.9,rooftop,5626,"Casino Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1440 Amador St",Richmond,CA,37.954285,-122.328006,0.9,rooftop,1440,"Amador St",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1503 56th S St",Richmond,CA,37.919764,-122.316897,0.9,rooftop,1503,"S 56th St",,,"El Cerrito",CA,"Contra Costa County",94530,US,"Contra Costa County"
"150 9th St",Richmond,CA,37.933425,-122.360654,1,rooftop,150,"9th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"601 Parr Blvd",Richmond,CA,37.969606,-122.360797,1,rooftop,601,"Parr Blvd",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1501 Chanslor Ave",Richmond,CA,37.932706,-122.355034,1,rooftop,1501,"Chanslor Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1526 Nevin Plz",Richmond,CA,37.936691,-122.354615,1,rooftop,1526,"Nevin Plz",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"455 24th S St",Richmond,CA,37.937748,-122.34621,1,rooftop,455,"24th St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"146 Marina Way",Richmond,CA,37.933492,-122.355879,1,rooftop,146,"Marina Way",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"953-955 Hensley St",Richmond,CA,37.945979,-122.368783,0.9,nearest_rooftop_match,953,"Hensley St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"947-951 Hensley St",Richmond,CA,37.946043,-122.369289,0.9,nearest_rooftop_match,947,"Hensley St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"507 Duboce Ave",Richmond,CA,37.952884,-122.364897,1,rooftop,507,"Duboce Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1500 Costa Ave",Richmond,CA,37.9501,-122.355375,0.9,rooftop,1500,"Costa Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1200 Sanford Ave",Richmond,CA,37.95183,-122.358443,0.9,rooftop,1200,"Sanford Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1703 3rd St",Richmond,CA,37.957454,-122.367084,1,range_interpolation,1703,"3rd St",,,Richmond,CA,"Contra Costa County",94801,US,"TIGER/Line® dataset from the US Census Bureau"
"543 18th St",Richmond,CA,37.939231,-122.352792,1,rooftop,543,"18th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"3132 Henderson Dr",Richmond,CA,37.975824,-122.325062,0.86,rooftop,3132,"Henderson Dr",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"2943 Cutting Blvd",Richmond,CA,37.925464,-122.340978,1,rooftop,2943,"Cutting Blvd",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"1719 Bayo Vista Ave",Richmond,CA,37.957686,-122.325614,0.9,rooftop,1719,"Bayo Vista Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"625 Sanford Ave",Richmond,CA,37.952131,-122.362645,1,rooftop,625,"Sanford Ave",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"625 5th St",Richmond,CA,37.940877,-122.365046,1,rooftop,625,"5th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"1421 Kelsey St",Richmond,CA,37.953774,-122.364503,1,rooftop,1421,"Kelsey St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"325 32nd St",Richmond,CA,37.935098,-122.3388,1,rooftop,325,"32nd St",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
"730 18th St",Richmond,CA,37.942703,-122.351827,1,rooftop,730,"18th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"301 22nd S St",Richmond,CA,37.93587,-122.348568,1,range_interpolation,301,"22nd St",,,Richmond,CA,"Contra Costa County",94804,US,"TIGER/Line® dataset from the US Census Bureau"
"1923 Miner Ave",Richmond,CA,37.976201,-122.343602,0.9,rooftop,1923,"Miner Ave",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"22 Juarez Ct",Richmond,CA,37.981135,-122.346534,0.9,rooftop,22,"Juarez Ct",,,"San Pablo",CA,"Contra Costa County",94806,US,"Contra Costa County"
"1857 1st St",Richmond,CA,37.959655,-122.36905,1,rooftop,1857,"1st St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"856 6th St",Richmond,CA,37.945573,-122.363386,1,rooftop,856,"6th St",,,Richmond,CA,"Contra Costa County",94801,US,"Contra Costa County"
"2320 Cutting Blvd",Richmond,CA,37.924922,-122.347037,1,rooftop,2320,"Cutting Blvd",,,Richmond,CA,"Contra Costa County",94804,US,"Contra Costa County"
